Classifier Name,Dataset Name,1st Layer,2nd Layer,Epochs,Final Accuracy,Final Val Accuracy,File Size,Binary or Multi-Classification,Yes/No or Versus,Classifer Origin,Dataset Origin
tennis-ball-detection,Binary-MNIST,2,2,10,0.4684466124,0.5,440.82KB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,"Took ""0"" and ""1"" from https://www.kaggle.com/datasets/scolianni/mnistasjpg"
tennis-ball-detection,Binary-MNIST,4,2,10,0.9733009934,1,636.83KB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,"Took ""0"" and ""1"" from https://www.kaggle.com/datasets/scolianni/mnistasjpg"
tennis-ball-detection,Dogs-vs-Cats,10,5,10,0.484169513,0.5,1.20MB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,https://www.kaggle.com/datasets/chetankv/dogs-cats-images
tennis-ball-detection,Dogs-vs-Cats,20,5,10,0.7394057512,0.6343873739,2.15MB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,https://www.kaggle.com/datasets/chetankv/dogs-cats-images
tennis-ball-detection,Dogs-vs-Cats,40,10,10,0.7525572181,0.7164031863,4.07MB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,https://www.kaggle.com/datasets/chetankv/dogs-cats-images
tennis-ball-detection,Dogs-vs-Cats,80,20,10,0.7501217723,0.6976284385,7.91MB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,https://www.kaggle.com/datasets/chetankv/dogs-cats-images
tennis-ball-detection,Dogs-vs-Cats,160,40,10,0.8490014672,0.5721343756,15.60MB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,https://www.kaggle.com/datasets/chetankv/dogs-cats-images
tennis-ball-detection,Dogs-vs-Cats,320,80,10,0.8246468306,0.6956521869,31.06MB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,https://www.kaggle.com/datasets/chetankv/dogs-cats-images
tennis-ball-detection,Dogs-vs-Cats,20,5,30,0.8796882629,0.7420948744,2.15MB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,https://www.kaggle.com/datasets/chetankv/dogs-cats-images
tennis-ball-detection,Dogs-vs-Cats,40,10,30,0.9371651411,0.7262845635,4.07MB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,https://www.kaggle.com/datasets/chetankv/dogs-cats-images
tennis-ball-detection,Dogs-vs-Cats,80,20,30,0.9751583338,0.7144268751,7.91MB,Binary,Versus,https://www.kaggle.com/code/cuauhtemoccontreras/tennis-ball-detection,https://www.kaggle.com/datasets/chetankv/dogs-cats-images
